Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
24.3734,0.028014,0,1.40734e-05,211.302,14088
48.741,0.054027,1,1.2466e-05,196.015,14088
71.3702,0.08004,2,1.13238e-05,182.278,14088
92.6358,0.106053,3,1.02533e-05,169.592,14088
112.795,0.132066,4,9.38053e-06,157.616,14088
131.965,0.158079,5,8.5841e-06,146.334,14088
150.225,0.184092,6,7.8535e-06,135.896,14088
167.57,0.210105,7,7.23866e-06,126.147,14088
184.146,0.236118,8,6.7296e-06,117.149,14088
199.965,0.262131,9,6.2286e-06,108.675,14088
215.178,0.288144,10,5.84169e-06,101.057,14088
253.64,0.354157,11,6.85644e-06,131.256,8832
271.23,0.38017,12,6.32581e-06,122.044,8832
288.073,0.406183,13,5.77944e-06,113.684,8832
304.116,0.432196,14,5.35014e-06,105.604,8832
341.307,0.498209,15,6.52779e-06,138.231,9307
360.509,0.524222,16,5.88883e-06,128.753,9307
378.233,0.550235,17,5.26375e-06,119.776,9307
394.955,0.576248,18,4.86192e-06,111.274,9307
410.9,0.602261,19,4.43924e-06,103.207,9307
446.775,0.668274,20,5.09122e-06,132.354,8929
464.711,0.694287,21,4.78906e-06,123.353,8929
482.197,0.7203,22,4.418e-06,114.864,8929
498.212,0.746313,23,4.11405e-06,106.77,8929
513.796,0.772326,24,3.8212e-06,98.8913,8929
549.302,0.838339,25,4.84216e-06,131.823,8894
567.162,0.864352,26,4.44466e-06,122.771,8894
584.336,0.890365,27,4.0171e-06,114.491,8894
600.387,0.916378,28,3.70594e-06,106.422,8894
615.794,0.942391,29,3.39579e-06,98.7316,8894
651.76,1.0084,30,4.85908e-06,134.146,9060
670.116,1.03442,31,4.43563e-06,125.017,9060
687.555,1.06043,32,4.0348e-06,116.519,9060
704.052,1.08644,33,3.58504e-06,108.524,9060
719.846,1.11246,34,3.31293e-06,100.923,9060
756.643,1.17847,35,4.50708e-06,136.631,9189
774.967,1.20448,36,4.08554e-06,127.271,9189
792.321,1.23049,37,3.71069e-06,118.434,9189
809.208,1.25651,38,3.34381e-06,110.034,9189
825.422,1.28252,39,2.98841e-06,102.416,9189
862.82,1.34853,40,4.57436e-06,142.672,9622
882.097,1.37455,41,4.08372e-06,133.015,9622
900.097,1.40056,42,3.64774e-06,123.932,9622
917.206,1.42657,43,3.27279e-06,115.389,9622
933.893,1.45259,44,2.94538e-06,107.394,9622
949.24,1.4786,45,2.7252e-06,99.7392,9622
985.702,1.54461,46,3.88625e-06,137.072,9234
1004.13,1.57062,47,3.42962e-06,127.837,9234
1022.37,1.59664,48,3.04255e-06,119.189,9234
1038.83,1.62265,49,2.67287e-06,110.721,9234
1054.7,1.64866,50,2.45214e-06,102.907,9234
1092.6,1.71468,51,3.80153e-06,144.2,9686
1111.81,1.74069,52,3.34923e-06,134.448,9686
1129.86,1.7667,53,2.94835e-06,125.167,9686
1147.33,1.79272,54,2.58836e-06,116.617,9686
1163.53,1.81873,55,2.35007e-06,108.472,9686
1179.13,1.84474,56,2.10964e-06,100.743,9686
1215.84,1.91075,57,3.59074e-06,138.671,9305
1234.3,1.93677,58,3.20885e-06,129.38,9305
1251.7,1.96278,59,2.84168e-06,120.636,9305
1268.2,1.98879,60,2.53198e-06,112.041,9305
1283.94,2.01481,61,2.1491e-06,104.343,9305
1321.11,2.08082,62,3.11627e-06,144.1,9693
1340.04,2.10683,63,2.82636e-06,134.375,9693
1357.89,2.13285,64,2.61766e-06,125.418,9693
1374.9,2.15886,65,2.36796e-06,116.81,9693
1391.2,2.18487,66,2.12917e-06,108.669,9693
1406.77,2.21088,67,1.92157e-06,100.658,9693
1444.46,2.2769,68,3.31278e-06,140.916,9486
1463.38,2.30291,69,2.93224e-06,131.541,9486
1481.22,2.32892,70,2.54442e-06,122.673,9486
1498.19,2.35494,71,2.23931e-06,114.206,9486
1514.2,2.38095,72,1.94126e-06,106.236,9486
1529.51,2.40696,73,1.74685e-06,98.6028,9486
1566.5,2.47298,74,3.28605e-06,138.807,9328
1585.07,2.49899,75,2.80427e-06,129.412,9328
1602.54,2.525,76,2.40842e-06,120.539,9328
1619.11,2.55102,77,2.08876e-06,112.146,9328
1635.01,2.57703,78,1.70797e-06,104.276,9328
1672.09,2.64304,79,3.43814e-06,141.895,9545
1690.86,2.66905,80,2.89803e-06,132.462,9545
1708.51,2.69507,81,2.47259e-06,123.699,9545
1725.48,2.72108,82,2.12449e-06,115.067,9545
1741.51,2.74709,83,1.67767e-06,106.897,9545
1756.92,2.77311,84,1.57723e-06,99.3156,9545
1795.28,2.83912,85,2.80785e-06,144.585,9734
1814.64,2.86513,86,2.5165e-06,134.759,9734
1832.96,2.89115,87,2.21414e-06,125.781,9734
1850.06,2.91716,88,1.90413e-06,117.335,9734
1866.38,2.94317,89,1.58081e-06,109.162,9734
1881.95,2.96918,90,1.37798e-06,101.358,9734
1921.88,3.0352,91,2.88963e-06,147.679,9931
1941.56,3.06121,92,2.61512e-06,137.91,9931
1959.69,3.08722,93,2.33572e-06,128.786,9931
1976.72,3.11324,94,2.05212e-06,119.772,9931
1992.95,3.13925,95,1.80145e-06,111.319,9931
2008.45,3.16526,96,1.57501e-06,103.358,9931
2048.8,3.23128,97,2.47091e-06,149.506,10107
2068.99,3.25729,98,2.18405e-06,139.58,10107
2087.77,3.2833,99,1.91769e-06,130.269,10107
2106.52,3.30931,100,1.64781e-06,121.277,10107
2122.86,3.33533,101,1.41726e-06,113.014,10107
2138.51,3.36134,102,1.26115e-06,104.995,10107
2178.31,3.42735,103,2.64636e-06,149.498,10050
2198.23,3.45337,104,2.40805e-06,139.548,10050
2216.63,3.47938,105,2.09885e-06,129.781,10050
2233.78,3.50539,106,1.85009e-06,120.814,10050
